Book ID,Title,Last,First,ISBN13,Average Rating,Publisher,Original Publication Year,Date Read
217674991,Paddle Your Own Canoe :One Man's Fundamentals for Delicious Living,Offerman,Nick,9780525954217,3.71,Dutton,2013,11/10/24
338820047 ,Killing Commendatore ,Murakami ,Haruki ,9780525520471 ,3.91 ,Knopf ,2017,10/28/24
416690,The Moon Is a Harsh Mistress,Heinlein,Robert A.,9780340837948,4.15,Hodder & Stoughton,1966,10/26/24
547520,Castle in the Air,Jones,Diana Wynne,9780064473453,3.87,Greenwillow Books,1990,NA
6179639,The Road to Oz,Baum,L. Frank,9781587260377,3.74,None,1909,10/21/24
7116597,Dorothy and the Wizard in Oz,Baum,L. Frank,9781421976952,3.74,Indypublish.Com,1908,10/2/24
812049,The Alchemyst,Scott,Michael,9781597800440,4.03,Night Shade Books,2004,9/26/24
940395,A Princess of Mars,Burroughs,Edgar Rice,9780143104889,3.81,Penguin Books,1912,9/26/24
1060177,Ozma of Oz,Baum,L. Frank,9780543895141,3.96,Reilly & Britton,1907,9/20/24
1146787,Uncle Tom's Cabin,Stowe,Harriet Beecher,None,3.91,Wordsworth Classics,1852,9/20/24
12179565,The Marvelous Land of Oz,Baum,L. Frank,9780140350418,3.8,Puffin Classics,1904,9/3/24
13685,The Natural,Malamud,Bernard,9780374502003,3.62,Farrar Straus and Giroux,1952,8/19/24
14236093,The Wonderful Wizard of Oz,Baum,L. Frank,9780140621679,4,Penguin,1900,8/16/24
1511359,Tar Baby,Morrison,Toni,9781400033447,3.99,Vintage,1981,8/13/24
166758329,The Wanderer,Lieber,Fritz,9781556907401,3.38,Recorded Books,1964,8/9/24
17112093865,Sure I'll Join Your Cult: A Memoir of Mental Illness and the Quest to Belong Anywhere,Bamford,Maria,9781982168568,3.75,Gallery Books,2023,8/8/24
188785374,Snuff,Pratchett,Terry,None,4.19,Doubleday UK,2011,NA
1962530,Thud!,Pratchett,Terry,None,4.35,Corgi,2005,NA
20939789,Rogue Moon,Budrys,Algis,9780380389506,3.49,Avon Books (NY),1960,7/29/24
2133652490,Men Without Women,Murakami,Haruki,978038569458,3.75,Bond Street Books,2014,7/28/24
226294,Howl's Moving Castle,Jones,Diana Wynne,9780064410342,4.29,Harper Trophy,1986,7/19/24
2358677491,The Memory Librarian: And Other Stories of Dirty Computer,Monáe,Janelle,9780063070875,3.76,Harper Voyager,2022,7/19/24
248524528,The Conspiracy Against the Human Race,Ligotti,Thomas,9780982429693,4.03,Hippocampus Press,2011,7/17/24
25951749,The Dying Earth,Vance,Jack,978071831523,3.89,Pocket Books,1950,7/10/24
26263111,Dorsai!,Dickson,Gordon R.,978012503982,4.03,TOR Science Fiction,1960,7/8/24
27112998,A Wild Sheep Chase,Murakami,Haruki,9780375718946,3.94,Knopf Doubleday Publishing Group,1982,7/8/24
281934066,Deathworld 3,Harrison,Harry,9780722145067,3.79,Sphere,1968,7/8/24
292173076,Deathworld 2,Harrison,Harry,9780722144848,3.78,Sphere,1963,7/3/24
